name,description,country,num_servings,total_time_minutes,user_ratings.score,user_ratings.count_positive,user_ratings.count_negative,nutrition.calories,nutrition.protein,nutrition.fat,nutrition.carbohydrates
Healthy Banana Pancakes,"These pancakes are fluffy, moist, and delicious, and best of all, they're healthy! Made with ripe bananas, whole wheat flour, and no added sugar, they're a guilt-free breakfast option.",ZZ,4,30,0.8650836481381543,4809,750,179.0,6.0,3.0,31.0
Garlic Shrimp Scampi,"This garlic shrimp scampi is a flavor explosion in your mouth! The succulent shrimp is cooked to perfection and coated in a heavenly garlic and butter sauce. Toss in some lemon juice and parsley, and you've got yourself a dish that'll transport you straight to the Italian coast.",US,2,20,0.9691319660244458,4678,149,817.0,61.0,23.0,87.0
Milkshake: The Tiffany,"Indulge in a sweet treat with this milkshake, featuring vanilla ice cream and chunks of chocolate candy blended together. Topped with sprinkles and caramel sauce, this milkshake is a classic favorite.",US,1,0,0.9174311926605505,100,9,850.0,19.0,54.0,73.0
Birthday Cake Mug Cake,"We’ve got news for you: You can celebrate your birthday any day of the year, thanks to this single-serve birthday cake in a mug. All you have to do is combine the ingredients into a mug or ramekin, microwave it for about two minutes, and voilà: Warm and delicious birthday cake for one.",ZZ,1,7,0.8124905029630756,5347,1234,456.0,5.0,18.0,62.0
Honey Garlic Shrimp Stir-Fry,"Make this delectable shrimp stir-fry with honey and garlic for a speedy and satisfying weeknight dinner! This dish is packed with succulent shrimp, crisp veggies, and a mouthwatering honey garlic sauce that’s irresistibly good. The combination of flavors will have you craving seconds in no time. Start by marinating the shrimp in garlic, ginger, olive oil, honey, and soy sauce. After a quick soak in the fridge, cook the shrimp until just firm and finish with a reduction of the flavorful marinade. Serve over cooked rice with steamed broccoli, and drizzle the thickened sauce over the top. Garnish with scallions for the perfect finishing touch.",ZZ,4,30,0.9726300074645434,3909,110,215.0,24.0,4.0,18.0
Microwave 5-Minute Mac 'N' Cheese,The Microwave 5-Minute Mac N Cheese is a classic comfort food that can be made in just 5 minutes. This cheesy and creamy macaroni and cheese is perfect for a quick and easy lunch or dinner.,ZZ,1,6,0.8086382723455309,4044,957,556.0,24.0,20.0,63.0
Weekday Meal-Prep Pesto Chicken & Veggies,"This pesto chicken and veggies meal prep is a lifesaver for anyone who's looking for a quick and easy way to eat healthy during the week! Tender chicken breasts, green beans and tomatoes are coated in a delicious basil pesto. ",ZZ,4,22,0.9670023569745019,4513,154,351.0,23.0,23.0,15.0
3-ingredient Mac & Cheese,"Eating a bowl of mac and cheese is like taking a trip down memory lane. Think back to those childhood dinners where a steaming pot of macaroni and cheese awaited, its irresistible allure of gooey, cheesy goodness promising pure comfort. Now, imagine recreating that nostalgic magic with our exclusive 3-ingredient mac-hack. You read that correctly: just three simple ingredients lead to culinary bliss. We've stripped away the complexity (no roux needed!) without compromising on flavor, using only the essentials — milk, cheese, and pasta — to craft a quick and easy meal that surpasses the boxed version in every way. ",US,4,15,0.8340535868625756,4825,960,1043.0,48.0,47.0,97.0
Weekday Meal-Prep Chicken Teriyaki Stir-Fry,"Weekday meal prep just got easier with this chicken teriyaki stir-fry! It's quick, easy, and full of flavor — the perfect meal to power you through your busy week.",US,4,27,0.9659685863874345,4428,156,425.0,53.0,7.0,38.0
Spaghetti With Garlic And Oil,"Spaghetti with garlic and oil is a classic Italian dish that's quick and easy to make, with just a few simple ingredients.",US,4,20,0.920039980009995,3682,320,234.0,7.0,3.0,42.0
3-Ingredient Banana Oat Smoothie,"This 3-ingredient banana oat smoothie recipe is a quick and easy way to enjoy a healthy breakfast or snack. With just bananas, oats, and almond milk, this smoothie is both simple and filling.",US,1,5,0.9193877551020408,3604,316,552.0,18.0,12.0,95.0
Peanut Butter Energy Bites,"These little bites of bliss are the perfect pick-me-up for when you need a quick and satisfying snack. Packed with protein-rich peanut butter, oats, honey, and chocolate chips, these no-bake bites are loaded with flavor and energy to keep you going all day long. They're a tasty and convenient option for on-the-go snacking or a pre-workout boost!",US,16,0,0.9543101507990097,4240,203,95.0,3.0,5.0,9.0
Chocolate Hazelnut Mug Cakes,"Whip up a decadent treat in minutes with these Chocolate Hazelnut Mug Cakes! Perfect for satisfying your sweet tooth, these gooey delights are loaded with chocolatey goodness and a hint of hazelnut.",US,2,14,0.8733614232209738,3731,541,712.0,13.0,36.0,79.0
Creamy Chicken Piccata,"This classic dish comes together in just 30 minutes with a handful of pantry staples. The butterflied chicken breast cooks quickly, then is smothered in a creamy and flavorful sauce and served over angel hair pasta. It's the perfect weeknight meal!",US,4,30,0.9701142689715793,3311,102,633.0,36.0,21.0,74.0
3-ingredient Pancakes,"These fluffy pancakes are made with only three ingredients, making for a quick and easy breakfast that's perfect for busy mornings.",US,4,13,0.8455344070278185,3465,633,72.0,3.0,2.0,9.0
"Cucumber, Tomato, And Avocado Salad", ,US,2,15,0.973404255319149,3294,90,460.0,6.0,37.0,31.0
Veggie Garlic Noodles,"This simple and satisfying recipe features tender noodles tossed in garlic, soy sauce, and sesame oil, then topped with vegetables for a flavorful vegetarian meal.",GB,4,25,0.9516263552960801,3423,174,404.0,8.0,8.0,74.0
One-Pot Taco Spaghetti,"This one-pot meal has everything you love about tacos and spaghetti in one delicious dish. Loaded with ground beef, tomatoes, and spices, it's a quick and easy meal that the whole family will love.",US,4,30,0.9435996682333425,3413,204,780.0,51.0,37.0,54.0
Cacio e Pepe (Spaghetti with Cheese and Pepper),"Spaghetti with cheese and pepper is a simple and delicious pasta dish, with creamy pecorino romano cheese and a sprinkle of black pepper.",US,4,25,0.8951239444293109,3286,385,386.0,15.0,16.0,46.0
Cheesy Egg Toast Perfect For Breakfast,"Upgrade your breakfast game with this mouthwatering Cheesy Egg Toast! It's the perfect combination of gooey cheese and fluffy eggs, all nestled on a crispy slice of toast. Say goodbye to boring breakfasts and hello to this scrumptious morning delight!",US,1,20,0.9536842105263158,3624,176,215.0,11.0,17.0,3.0
Grilled Cheese,"The secret to a perfect grilled cheese recipe? Mayonnaise! (No, really, it makes the outside crispier and tangier.) Spread butter on one side of each bread slice and mayo on the other. Sandwich the cheddar slices between the buttered sides, leaving the mayo sides on the outside. Fry for a few minutes until golden, dip into a bowl of tomato soup, and resolve to never make a grilled cheese without mayo ever again!",US,1,12,0.9510577833912219,3012,155,319.0,5.0,28.0,10.0
Banana Pancakes,Whip up a scrumptious stack of Banana Pancakes for a delightful twist on a classic breakfast favorite. These fluffy flapjacks are bursting with natural sweetness and will have you flipping for more!,ZZ,4,25,0.7800447872605125,3135,884,112.0,4.0,2.0,19.0
3-Ingredient Hazelnut Brownies,These 3-ingredient hazelnut brownies are the perfect way to satisfy your sweet tooth without breaking the bank. The combination of chocolate and hazelnut in this recipe is irresistible and makes for a deliciously decadent dessert.,ZZ,8,30,0.9167313162658391,3545,322,296.0,4.0,14.0,35.0
Taco Soup,"This quick and easy taco soup is made entirely in one pot in less than 30 minutes. Topped with cheese, avocado, and all the fixins, this simple soup makes the perfect weeknight dinner that'll please just about anyone.",US,6,30,0.9776683087027914,2977,68,604.0,41.0,25.0,57.0
Lemon Chicken And Asparagus Stir-Fry,"This lemon chicken and asparagus stir-fry is a quick and easy weeknight dinner that is full of flavor. The tangy lemon sauce pairs perfectly with the tender chicken and crispy asparagus, making it a healthy and satisfying meal. Serve it over rice or quinoa for a complete meal.",ZZ,3,25,0.967925659472422,3229,107,189.0,32.0,4.0,3.0
Pizza Bombs,"Are you tired of the same old pizza routine? Shake things up with these irresistible pizza bombs! Say goodbye to the hassle of homemade dough because these savory delights are made with store-bought biscuit dough, ensuring a quick and stress-free prep. You'll fill each soft and pillowy biscuit round with a spoonful of zesty marinara sauce, a savory pepperoni slice, and a cube of mozzarella cheese before baking them in a hot oven to golden perfection. These pizza bombs are bursting with flavor in every bite. Whether you're hosting a party or craving a fun twist on pizza night, these little bombs are guaranteed to be a hit.",US,16,30,0.9284684164984136,3219,248,188.0,4.0,11.0,17.0
20-Minute Beef And Broccoli Noodle Stir-Fry,"Beef and broccoli noodle stir-fry is a quick and easy meal that's perfect for busy weeknights! Tender strips of beef and crunchy broccoli are stir-fried in a flavorful sauce made with soy sauce, sesame oil, and garlic, and served over a bed of ramen noodles. It's a one-pan wonder that's ready in just 20 minutes, making it the perfect meal for when you're short on time but still want something delicious and satisfying!",US,4,20,0.9203655352480418,2820,244,401.0,30.0,19.0,28.0
Grilled Shrimp Tacos With Creamy Cilantro Sauce,"Savor the flavors of summer with these Grilled Shrimp Tacos, topped with a zesty Creamy Cilantro Sauce. Perfect for a quick weeknight dinner or a backyard BBQ, these tacos are sure to impress your taste buds.  ",US,12,26,0.9659442724458205,2808,99,238.0,19.0,7.0,25.0
Garlic Brown Sugar Chicken,"Savor the sweet and savory flavors of this Garlic Brown Sugar Chicken that'll have your taste buds dancing! With a mouthwatering glaze and a hint of garlic, this dish is perfect for a weeknight dinner or a special occasion.",ZZ,2,30,0.9475694444444445,2729,151,677.0,74.0,23.0,45.0
Chocolate Chip Cake Mix Cookies,"Whip up a batch of these scrumptious Chocolate Chip Cake Mix Cookies that are so easy, even a novice baker can master them! With a cake mix base and a handful of simple ingredients, you'll be enjoying these soft, chewy cookies in no time.",US,12,22,0.9468717231737155,2709,152,213.0,2.0,8.0,36.0
Chicken Fajita Quesadilla,"This chicken fajita quesadilla is the ultimate mashup of two classic dishes! With tender chicken, colorful peppers and onions, and plenty of cheese, it's a delicious and satisfying meal. Serve it with some salsa and sour cream for an extra kick.",ZZ,2,30,0.984375,2520,40,1241.0,90.0,80.0,34.0
Shrimp And Asparagus Stir-Fry,"This dish is the perfect balance of healthy and delicious, and will have you coming back for seconds! The succulent shrimp and tender asparagus are sautéed to perfection in a sauce made of soy sauce, ginger, and garlic. ",ZZ,4,20,0.9781507283090564,3089,69,182.0,26.0,6.0,6.0
Avocado Carbonara,"This avocado carbonara is the perfect fusion of creamy and tangy. Al dente spaghetti gets tossed in a decadent sauce made of fresh avocados, crispy bacon, and parmesan cheese for a bright but decadent bite. ",US,2,30,0.8971825832418587,2452,281,1146.0,46.0,67.0,96.0
Cinnamon Roll French Toast Roll-Up,"Experience the ultimate breakfast mashup with these Cinnamon Roll French Toast Roll-Ups! They're a delightful twist on classic cinnamon rolls and French toast, perfect for a cozy weekend morning.",US,3,25,0.933257055682685,2447,175,257.0,7.0,17.0,18.0
Creamy One-Pot Spinach Shrimp Pasta,"Dive into this Creamy One-Pot Spinach Shrimp Pasta that's perfect for busy weeknights! With a delightful blend of succulent shrimp, tender spinach, and a luscious cream sauce, this dish is sure to become a family favorite. ",US,4,30,0.9658573596358119,2546,90,440.0,36.0,11.0,50.0
Low-Carb Mediterranean Chicken And Tomato By Kevin Curry,"Kevin Curry of @fitmencook shows us how to make one of his favorite keto-friendly dishes. Sear off chicken thighs and then stir up a creamy sun-dried tomato sauce, all in the same pan! Feel free to customize this recipe to your own liking by swapping out the chicken thighs for chicken breasts or shrimp and using light coconut milk instead of heavy cream.",US,4,30,0.9831206257719226,2388,41,458.0,34.0,35.0,12.0
Strawberry Banana Smoothie Meal Prep,This classic smoothie is a delicious way to start your day. Sweet strawberries and ripe bananas are blended together to create a creamy and satisfying drink that will keep you going all morning.,ZZ,2,10,0.9386689865158765,2158,141,310.0,17.0,4.0,53.0
One-Pot Basil Pasta,"This one-pot basil pasta is a lifesaver for busy weeknights! Loaded with fresh basil, cherry tomatoes, and garlic, this dish comes together in no time and is sure to be a hit with the whole family.",GB,2,25,0.9197884530630234,2087,182,321.0,10.0,5.0,58.0
Avocado Lime Salmon,This avocado lime salmon is a healthy and flavorful dinner option. The creamy avocado and zesty lime make the perfect pairing with juicy salmon fillets.,ZZ,1,27,0.9801324503311258,2072,42,719.0,37.0,55.0,18.0
Cookies & Cream Mug Cake,"It’s 10 p.m. and your dessert craving just hit hard. You want something more elevated than store-bought chocolate chip cookies, but you don’t feel like starting a serious baking endeavor just for yourself. That’s why mug cakes are a total godsend. This cookies and cream version is made with just a handful of basic ingredients. Mix everything into a mug and cook it in the microwave for two minutes. Voilà: A single-serve dessert that’ll satisfy your sweet tooth.",ZZ,1,7,0.8357371794871795,2086,410,319.0,5.0,4.0,62.0
4-Minute Mug Cinnamon Rolls,"If you want a cinnamon roll in a pinch, this 4-minute mug cinnamon roll is the recipe for you. It makes 2, so you can share with a friend or loved one.",US,2,7,0.7505551443375278,2028,674,570.0,12.0,11.0,103.0
Super Fluffy Omelet,"Whip up a cloud-like breakfast with this Super Fluffy Omelet recipe that'll have you floating on air. Elevate your morning routine with this light and airy twist on a classic omelet, perfect for impressing your brunch guests.",US,2,30,0.8671477079796265,2043,313,396.0,25.0,31.0,1.0
Pull-Apart Garlic Rolls,"Soft and fluffy rolls with a garlic butter glaze, baked together in a pull-apart style for easy serving.",US,10,25,0.9693308550185874,2086,66,315.0,6.0,19.0,29.0
3-Cheese Garlic Bread," This classic side dish features a warm and crusty baguette, smothered in a trio of melted cheeses and garlic. Perfect for serving alongside your favorite pasta dish or as a snack all on its own.",ZZ,2,25,0.98068669527897,2285,45,745.0,35.0,30.0,82.0
Easy Chicken Piccata,"Experience the zesty flavors of Italy with this Easy Chicken Piccata recipe that's perfect for a weeknight dinner. Tender chicken breasts are coated in a tangy lemon-caper sauce, making every bite a delightful experience.",US,2,25,0.9754329440193314,2422,61,295.0,25.0,20.0,4.0
Garlic Lemon Shrimp,"Looking for a refreshing and impressive dinner? This dish features succulent shrimp cooked in garlic and lemon, creating a zesty and refreshing flavor that will tantalize your taste buds.",ZZ,2,20,0.9765277215702145,2413,58,401.0,46.0,21.0,4.0
Red Velvet White Chocolate Cake Mix Cookies,"Experience the magic of red velvet and white chocolate in these scrumptious cake mix cookies! With a touch of cream cheese frosting, they're the perfect treat for any sweet tooth.",US,12,22,0.9394079555966698,2031,131,482.0,3.0,8.0,37.0
Garlic Broccoli Shrimp Stir Fry,Get your greens with this garlicky broccoli shrimp stir-fry! Tender shrimp crisp broccoli is stir-fried with aromatic garlic and ginger for a dish that's both healthy and flavorful. It's perfect for a busy weeknight dinner.,ZZ,4,18,0.9574065309985802,2023,90,233.0,26.0,9.0,11.0
Red Velvet Box Cookies Recipe, ,US,24,25,0.9224207961007311,2271,191,101.0,1.0,4.0,14.0
3-Ingredient Breakfast Cookies,"These 3-ingredient breakfast cookies are the ultimate grab-and-go treat for busy mornings. Packed with oats and banana, they offer a sweet and satisfying start to your day.",ZZ,8,22,0.8877295492487479,2127,269,102.0,2.0,1.0,21.0
Chili Lime Baked Tilapia With Avocado Crema,"This recipe takes baked tilapia to the next level with a spicy and tangy marinade featuring chili powder, lime, and garlic. Serve with a creamy and refreshing avocado crema for a dish that is perfect for a healthy and flavorful weeknight dinner.
",ZZ,2,27,0.9340511440107672,2082,147,,,,
Meal Prep Pesto Chicken Pasta,"Whip up this Meal Prep Pesto Chicken Pasta for a week's worth of delicious lunches! This vibrant, flavorful dish combines tender chicken, al dente pasta, and a homemade basil pesto that'll have you coming back for seconds.",ZZ,4,25,0.9715068493150685,1773,52,634.0,47.0,37.0,28.0
Fluffy Japanese Pancakes,"Say ""konnichiwa"" to these Fluffy Japanese Pancakes that'll transport your taste buds straight to Tokyo! Light, airy, and oh-so-delicious, these pancakes are perfect for a weekend brunch or a fun twist on breakfast for dinner.",US,4,30,0.845861084681256,1778,324,281.0,13.0,9.0,34.0
Strawberry Chocolate Overnight Oats,These delicious overnight oats are made with fresh strawberries and chocolate chips for a sweet and satisfying breakfast.,US,1,10,0.8553981436248168,1751,296,369.0,16.0,5.0,65.0
Strawberries & Cream Mug Cake,This sweet and simple dessert option can be made in just a few minutes. It's the perfect way to satisfy your sweet tooth! Not a fan of strawberries? You can always swap in your favorite fruit!,ZZ,1,7,0.8796954314720812,1733,237,321.0,5.0,5.0,60.0
Keto Bacon Cauliflower “Mac” ‘N’ Cheese,Just because you're on a keto diet doesn't mean you should forsake all comfort food. This super indulgent mac 'n' cheese manages to stay low-carb thanks to one magical ingredient: cauliflower. Add bacon to the mix and you get the perfect dinner. ,US,4,30,0.9658246656760773,1950,69,876.0,47.0,69.0,18.0
Cashew Chicken Stir-Fry,"This easy and flavorful stir fry is loaded with tender chicken, crunchy cashews, and plenty of veggies. It's the perfect weeknight dinner recipe.",ZZ,4,25,0.9756511891279728,1723,43,423.0,37.0,16.0,36.0
Make-Ahead Breakfast Quesadilla,"This tasty and convenient breakfast option that can be made ahead of time, this quesadilla is the perfect grab-and-go meal for busy mornings.",US,1,25,0.9628378378378378,1710,66,545.0,31.0,34.0,24.0
Chicken Lo Mein,"There are many benefits to making your favorite Chinese takeout meal at home — and that includes chicken lo mein! For one, you can add more fresh vegetables to your chicken lo mein, or use soy sauce with less sodium for a lighter version. To make it, all you have to do is stir-fry your chicken and veggies, add cooked egg noodles, and toss it all together with a simple sauce. Top with scallions, box up the leftovers, and you’ll have cheap, yummy eats for days.",US,4,25,0.9430856067732831,2005,121,907.0,57.0,19.0,122.0
Curry Noodle Soup,"This deliciously fragrant soup is a perfect blend of savory flavors. Tender noodles and vegetables are simmered in a fragrant curry broth, resulting in a comforting and satisfying meal that's perfect for any occasion.",US,6,25,0.9347609561752988,1877,131,373.0,8.0,18.0,46.0
Green Mac ‘n’ Cheese, ,US,12,30,0.928078250863061,1613,125,378.0,18.0,18.0,32.0
Under 300-Calorie Honey Lime Shrimp,"Savor the zesty flavors of this under-300-calorie honey lime shrimp dish that's perfect for a guilt-free meal. With a delightful combination of sweet and tangy, this easy-to-make recipe will have your taste buds dancing in no time!",ZZ,4,25,0.9662576687116564,1575,55,219.0,26.0,4.0,21.0
Parmesan Crusted Salmon,"Get ready to take your taste buds on a cheesy adventure with this Parmesan Crusted Salmon. The crispiness of the crust paired with the tender, flaky salmon will leave you wanting more.",ZZ,1,27,0.9686670207116304,1824,59,708.0,53.0,42.0,28.0
Beef And Broccoli Stir-Fry,"It’s your favorite take-out dish, but made exactly to your liking. And just like the classic Chinese-American dish, this recipe works great as leftovers when reheated in a microwave or over the stove. If you want to freshen it up, just chop up and throw in whatever vegetables you have in the fridge, like onions, bell peppers, or even water chestnuts.",ZZ,4,30,0.9759949463044851,1545,38,297.0,25.0,17.0,10.0
Strawberry Cheesecake French Toast,"Indulge in a breakfast fantasy come true with strawberry cheesecake French toast. A luscious, creamy filling is nestled between slices of custard-soaked bread, topped with a cascade of ruby-red strawberries, creating a morning masterpiece like no other.",US,2,21,0.9259723964868256,1476,118,873.0,23.0,63.0,52.0
20-Minute One-Pan Pizza,"Whip up a mouthwatering one-pan pizza in just 20 minutes, perfect for those busy weeknights! This scrumptious, no-fuss recipe will have your taste buds dancing with delight.",US,2,20,0.8790363915940543,1715,236,1210.0,63.0,77.0,66.0
Baked Shrimp Scampi Linguine Pasta,"Dive into this scrumptious Baked Shrimp Scampi Linguine, a perfect blend of tender shrimp and linguine baked to perfection. You'll be savoring every bite of this garlicky, buttery goodness that's sure to impress your taste buds!",ZZ,4,28,0.9636752136752137,1804,68,655.0,30.0,36.0,46.0
Bacon Egg Cups,Bacon egg cups are a delicious and protein-rich breakfast option. Eggs and cheddar cheese are scrambled and placed into bacon-wrapped muffin cups.,ZZ,4,30,0.9398663697104677,1688,108,179.0,13.0,13.0,1.0
Simple Scrambled Eggs,"Simple scrambled eggs are a classic breakfast dish, perfect for a quick and easy meal any time of day.",US,4,15,0.937007874015748,1666,112,99.0,6.0,7.0,0.0
Tomato Basil Sausage Spaghetti,"This recipe is a simple and delicious pasta dish that features Italian sausage, tomatoes, garlic, and basil. It's easy to make and perfect for a quick weeknight dinner.",US,2,30,0.9692110327132777,1511,48,955.0,42.0,39.0,110.0
One-Pot Mexican Quinoa,"This easy, one-pot meal is bursting with Mexican-inspired flavors and loaded with protein-packed quinoa for a healthy and filling dinner.",US,4,30,0.9683053040103493,1497,49,412.0,15.0,14.0,60.0
The Ultimate Waffle,"Crispy on the outside and fluffy on the inside, this waffle is the perfect vessel for all your favorite toppings. Drizzle with maple syrup and melted butter, sprinkle with fresh berries and whipped cream, or even top with crispy fried chicken for the ultimate brunch mashup.",US,4,30,0.9526248399487837,1488,74,390.0,13.0,5.0,70.0
Egg Breakfast Cups,"For these egg breakfast cups, you don't need a fork or knife. Just pop them in your mouth and enjoy the explosion of flavor. They're packed with veggies and protein, making them the perfect grab-and-go breakfast!",ZZ,6,30,0.9590443686006825,1405,60,87.0,6.0,4.0,5.0
Hot Chocolate: The Undercover Lover,This hot chocolate recipe features a combination of milk and dark chocolate for a rich and decadent flavor. It's perfect for chocolate lovers who want a luxurious and indulgent drink.,US,1,20,0.9272727272727272,51,4,330.0,9.0,16.0,41.0
Jalapeño Poppers,"Spice up your appetizer game with these jalapeño poppers! These little bites pack a punch, with spicy jalapeños and creamy cheese all wrapped up crispy, smoky bacon. Serve them up with a side of ranch or blue cheese dressing and get ready to kick things up a notch.",US,8,30,0.9712746858168761,1623,48,93.0,2.0,9.0,1.0
Spinach Mushroom Pesto Spaghetti,"This pasta dish is packed with flavorful ingredients like sautéed mushrooms, spinach, and homemade pesto sauce.",US,2,30,0.9547945205479452,1394,66,1139.0,35.0,69.0,100.0
Hasselback Pizza Chicken,"Why choose between pizza and chicken when you can have both? This juicy chicken breast is stuffed with mozzarella cheese and topped with pizza sauce, pepperoni, and more cheese. Perfect for a quick and easy weeknight dinner.
",GB,1,30,0.9392684610075914,1361,88,589.0,69.0,31.0,3.0
Lemon Crinkle Cake Mix Cookies,"Pucker up for these zesty Lemon Crinkle Cake Mix Cookies that are a breeze to whip up! With their soft, chewy texture and delightful lemony tang, they're the perfect treat for any citrus lover.",US,12,22,0.9592518370073481,1436,61,159.0,2.0,3.0,29.0
Watermelon-Lime Slushie,"This watermelon lime slushie is a refreshing and hydrating way to beat the heat. Made with fresh watermelon and lime juice, it's the perfect summer drink.",ZZ,2,10,0.8884711779448622,1418,178,42.0,0.0,0.0,11.0
Peanut Butter Banana Oatmeal Muffins,"These muffins are a perfect breakfast treat, combining the classic flavors of peanut butter and banana with hearty oats for a filling and satisfying snack. They're easy to make and are perfect for meal prepping or as an on-the-go snack.",US,12,30,0.9137931034482759,1537,145,175.0,6.0,4.0,30.0
Creamy Chicken Chimichanga,"These crispy, golden-brown chimichangas are packed with tender chicken and creamy cheese, making for a decadent and satisfying meal.",US,6,30,0.9741119807344973,1618,43,631.0,45.0,34.0,34.0
90-Second Keto Bread,"Maybe you’re following the keto diet or maybe you’re just trying to cut back on carbs. In any case, that doesn’t mean you have to give up bread. This keto-friendly bread is made with some basic ingredients like almond flour, egg, butter, and Parmesan. The best part: You don’t even have to turn on the oven. This bread is cooked entirely in the microwave in about a minute and a half.",US,1,7,0.9404466501240695,1516,96,281.0,15.0,21.0,9.0
One-Pot Spicy Sausage And Broccoli Pasta,"This one-pot pasta has it all — protein, vegetables, carbs, and a spicy kick! Cooking the pasta in chicken stock and rendered sausage fat gives it tons of flavor, while the starches from the pasta combine with the stock and Parmesan to make a glossy sauce.",US,4,30,0.9496350364963504,1301,69,645.0,34.0,37.0,52.0
Maple-Glazed Salmon,"A delicious and healthy salmon dish with a sweet and savory maple glaze, perfect for a quick and easy weeknight dinner.",ZZ,2,15,0.9690920798454604,1505,48,466.0,18.0,27.0,40.0
